date,season,confederation,league,stage,home_team,away_team,home_score,away_score
,2025,CONCACAF,CONCACAF Champions League,Round 1,21.00 Vancouver Whitecaps,Deportivo Saprissa,2,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,17.30 FC Cincinnati,UANL Tigres,1,1
,2025,CONCACAF,CONCACAF Champions League,Round of 16,19.30 Pumas UNAM,LD Alajuelense,2,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,21.30 Los Angeles FC,Columbus Crew,3,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,19.30 Deportivo Guadalajara,CF América,1,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,CS Herediano,Los Angeles Galaxy,1,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,21.30 Seattle Sounders,Cruz Azul,0,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,Vancouver Whitecaps,CF Monterrey,1,1
,2025,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Inter Miami CF,Cavalier FC,2,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,18.30 Columbus Crew,Los Angeles FC,2,1
,2025,CONCACAF,CONCACAF Champions League,Round of 16,Cruz Azul,Seattle Sounders,4,1
,2025,CONCACAF,CONCACAF Champions League,Round of 16,20.30 UANL Tigres,FC Cincinnati,3,1
,2025,CONCACAF,CONCACAF Champions League,Round of 16,18.30 CF Monterrey,Vancouver Whitecaps,2,2
,2025,CONCACAF,CONCACAF Champions League,Round of 16,20.30 CF América,Deportivo Guadalajara,4,0
,2025,CONCACAF,CONCACAF Champions League,Round of 16,Los Angeles Galaxy,CS Herediano,4,1
,2025,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Cavalier FC,Inter Miami CF,0,2
,2025,CONCACAF,CONCACAF Champions League,Round of 16,20.00 LD Alajuelense,Pumas UNAM,1,1
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,19.15 CF América,Cruz Azul,0,0
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,21.15 Los Angeles Galaxy,UANL Tigres,0,0
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,19.30 Vancouver Whitecaps,Pumas UNAM,1,1
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,21.30 Los Angeles FC,Inter Miami CF,1,0
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 UANL Tigres,Los Angeles Galaxy,3,2
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,21.30 Cruz Azul,CF América,2,1
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Inter Miami CF,Los Angeles FC,3,1
,2025,CONCACAF,CONCACAF Champions League,Quarterfinals,20.30 Pumas UNAM,Vancouver Whitecaps,2,2
,2025,CONCACAF,CONCACAF Champions League,Semifinals,20.00 UANL Tigres,Cruz Azul,1,1
,2025,CONCACAF,CONCACAF Champions League,Semifinals,20.30 Vancouver Whitecaps,Inter Miami CF,2,0
,2025,CONCACAF,CONCACAF Champions League,Semifinals,18.00 Inter Miami CF,Vancouver Whitecaps,1,3
,2025,CONCACAF,CONCACAF Champions League,Semifinals,20.00 Cruz Azul,UANL Tigres,1,0
